,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Total Tax Payable,2267000000.0,2646000000.0,2980000000.0,2930000000.0,
Accounts Payable,11312000000.0,12705000000.0,12204000000.0,10655000000.0,
Total Assets,265010000000.0,263022000000.0,260015000000.0,259831000000.0,
Total Non Current Assets,163243000000.0,158990000000.0,157141000000.0,156902000000.0,
Other Non Current Assets,504000000.0,416000000.0,417000000.0,369000000.0,
Defined Pension Benefit,1553000000.0,643000000.0,738000000.0,608000000.0,
Non Current Prepaid Assets,164000000.0,169000000.0,83000000.0,121000000.0,
Non Current Deferred Taxes Assets,4335000000.0,4127000000.0,3725000000.0,3434000000.0,
Financial Assets,705000000.0,1622000000.0,1995000000.0,892000000.0,
Investmentin Financial Assets,2064000000.0,2321000000.0,2404000000.0,2472000000.0,
Held To Maturity Securities,644000000.0,699000000.0,823000000.0,873000000.0,
Available For Sale Securities,704000000.0,858000000.0,768000000.0,911000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,716000000.0,764000000.0,813000000.0,688000000.0,
Trading Securities,,,,873000000.0,1041000000.0
Long Term Equity Investment,12786000000.0,13104000000.0,13530000000.0,13588000000.0,
Investmentsin Joint Venturesat Cost,464000000.0,726000000.0,991000000.0,936000000.0,
Investmentsin Associatesat Cost,12322000000.0,12378000000.0,12539000000.0,12652000000.0,
Goodwill And Other Intangible Assets,19436000000.0,17593000000.0,15869000000.0,15005000000.0,
Other Intangible Assets,18682000000.0,16848000000.0,15120000000.0,14241000000.0,
Goodwill,754000000.0,745000000.0,749000000.0,764000000.0,
Net PPE,71757000000.0,67802000000.0,68802000000.0,72330000000.0,
Accumulated Depreciation,-63610000000.0,-61358000000.0,-61459000000.0,-56800000000.0,
Gross PPE,135367000000.0,129160000000.0,130261000000.0,129130000000.0,
Construction In Progress,3615000000.0,2227000000.0,1517000000.0,2195000000.0,
Other Properties,58931000000.0,55732000000.0,56026000000.0,57998000000.0,
Machinery Furniture Equipment,53559000000.0,52807000000.0,53699000000.0,51212000000.0,
Buildings And Improvements,4032000000.0,3605000000.0,2241000000.0,2320000000.0,
Land And Improvements,15230000000.0,14789000000.0,19019000000.0,15405000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,101767000000.0,104032000000.0,102874000000.0,102929000000.0,
Other Current Assets,751000000.0,609000000.0,935000000.0,755000000.0,
Hedging Assets Current,586000000.0,1038000000.0,468000000.0,128000000.0,
Assets Held For Sale Current,160000000.0,795000000.0,0.0,3142000000.0,
Prepaid Assets,791000000.0,802000000.0,614000000.0,625000000.0,
Inventory,25900000000.0,26129000000.0,25458000000.0,21286000000.0,
Finished Goods,20069000000.0,20408000000.0,19058000000.0,14829000000.0,
Work In Process,3032000000.0,3070000000.0,3491000000.0,3969000000.0,
Raw Materials,2799000000.0,2651000000.0,2909000000.0,2488000000.0,
Other Receivables,1880000000.0,2215000000.0,2460000000.0,3067000000.0,
Taxes Receivable,3407000000.0,3419000000.0,3086000000.0,2873000000.0,
Accounts Receivable,39864000000.0,39928000000.0,38486000000.0,33862000000.0,
Allowance For Doubtful Accounts Receivable,-207000000.0,-138000000.0,-190000000.0,-145000000.0,
Gross Accounts Receivable,40071000000.0,40066000000.0,38676000000.0,34007000000.0,
Cash Cash Equivalents And Short Term Investments,21741000000.0,22353000000.0,24358000000.0,29864000000.0,
Other Short Term Investments,7230000000.0,6391000000.0,6679000000.0,6744000000.0,
Cash And Cash Equivalents,14511000000.0,15962000000.0,17679000000.0,23120000000.0,
